dir_rel,file_count,total_size_bytes,total_size_mb
tools/codex/worktrees/Z_aggregator/tools/codex/runs/20260305_092736_F9A0/Z_aggregator/FILES/packages/ui-kit/src/motion/catalogs,5,456587,0.44
tools/codex/runs/20260228_164549_2F73/D_validation,7,450354,0.43
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/packages/ui-kit/src/data-spine/hooks,2,417351,0.4
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/packages/ui-kit/tests/data-spine,2,413183,0.39
apps/keystone/components/pitch/run2,13,396324,0.38
tools/codex/runs/20260304_174651_DBC8/Z_aggregator,14,393250,0.38
logs/cloudflare,68,390373,0.37
tools/codex/runs/20260228_164549_2F73/B_tooling,8,388198,0.37
tools/codex/worktrees/Z_aggregator/tools/codex/runs/20260304_174651_DBC8/Z_aggregator,13,384816,0.37
tools/codex/runs/20260228_164549_2F73/D_validation/FILES/packages/ui-kit/tests/layers/fixtures,2,381915,0.36
tools/codex/dispatch,13,358268,0.34
tools/codex/runs/20260228_183257_093E/B_tooling,8,355352,0.34
docs/knowledge/codex_chats/export_20260304_152713/export,2,347427,0.33
tools/codex/runs/20260228_183257_093E/Z_integrator,5,342988,0.33
tools/codex/tracking,19,342040,0.33
tools/codex/factory,34,326655,0.31
tools/codex/runs/20260228_164549_2F73/B_tooling/FILES/packages/ui-kit/tests/layers,4,326093,0.31
tools/codex/runs/20260305_092736_F9A0/_context,13,316992,0.3
tools/codex/worktrees/Z_aggregator,23,306703,0.29
tools/codex/worktrees/A_core,24,305872,0.29
tools/codex/worktrees/C_features,22,305125,0.29
tools/codex/worktrees/D_validation,22,305125,0.29
tools/codex/worktrees/B_tooling,23,296109,0.28
tools/codex/runs/20260228_183257_093E/B_tooling/FILES/packages/ui-kit/tests/layers,5,291168,0.28
tools/codex/runs/20260305_092736_F9A0/Z_aggregator/FILES/packages/ui-kit/src/luxury/frames/signatures,3,290550,0.28
tools/codex/worktrees/Z_aggregator/tools/codex/runs/20260305_092736_F9A0/Z_aggregator/FILES/packages/ui-kit/src/luxury/frames/signatures,3,290550,0.28
tools/codex/runs/20260305_092736_F9A0/B_tooling/FILES/apps/keystone/app/dev/_luxury,3,287215,0.27
tools/codex/worktrees/B_tooling/tools/codex/runs/20260305_092736_F9A0/B_tooling/FILES/apps/keystone/app/dev/_luxury,3,287215,0.27
tools/codex/worktrees/B_tooling/packages/ui-kit/tests/layers,6,285835,0.27
apps/keystone/components/pitch/theme,3,285230,0.27
tools/codex/runs/ci_factory_local_fix5,4,284341,0.27
tools/codex/runs/ci_factory_local_fix4,4,283732,0.27
tools/codex/runs/ci_factory_local_fix3,4,283568,0.27
tools/codex/runs/factory_smoke_20260304_232534_a09b221c_001,2,278137,0.27
tools/codex/runs/factory_smoke_20260304_232916_a09b221c_001,2,278137,0.27
tools/codex/runs/factory_smoke_test_20260218_000000_001,2,278125,0.27
tools/codex/runs/integration_invalid_repo_root_debug_20260304,2,277727,0.26
tools/codex/runs/factory_smoke_20260304_214351_bd91c028_001,2,277528,0.26
tools/codex/runs/factory_smoke_20260304_212807_4d993bdd_001,2,277433,0.26
tools/codex/runs/factory_smoke_20260304_213135_6f06e517_001,2,277364,0.26
tools/codex/runs/20260228_164549_2F73/C_features,8,261732,0.25
tools/codex/worktrees/C_features/apps/keystone/lib/pitch,7,244067,0.23
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/tools/datasets,1,243173,0.23
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/apps/keystone/app/api/dev/kpi/seed/[seed],1,235877,0.22
tools/codex/runs/20260305_092736_F9A0/B_tooling/FILES/apps/keystone/app/dev/_luxury/tools,6,234918,0.22
tools/codex/worktrees/B_tooling/tools/codex/runs/20260305_092736_F9A0/B_tooling/FILES/apps/keystone/app/dev/_luxury/tools,6,234918,0.22
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/apps/keystone/app/api/dev/kpi/datasets/[id],1,234875,0.22
tools/codex/worktrees/A_core/apps/keystone,8,219912,0.21
apps/keystone,10,217677,0.21
tools/codex/worktrees/Z_aggregator/tools/codex/factory,26,199081,0.19
tools/codex/runs/20260304_174651_DBC8/Z_aggregator/FILES,1,195822,0.19
tools/codex/worktrees/Z_aggregator/tools/codex/runs/20260304_174651_DBC8/Z_aggregator/FILES,1,195822,0.19
tools/codex/worktrees/A_core/tools/codex/factory,26,194676,0.19
tools/codex/worktrees/B_tooling/tools/codex/factory,26,194676,0.19
tools/codex/worktrees/C_features/tools/codex/factory,26,194676,0.19
tools/codex/worktrees/D_validation/tools/codex/factory,26,194676,0.19
tools/codex/_triage/snapshots/SNAP_20260226_1/BEFORE/tools/codex/factory,26,193051,0.18
tools/codex/runs,6,192892,0.18
tools/codex/worktrees/B_tooling/apps/keystone,8,188093,0.18
tools/codex/worktrees/Z_aggregator/apps/keystone,11,188062,0.18
tools/codex/worktrees/C_features/apps/keystone,8,187157,0.18
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/packages/ui-kit/src,1,181704,0.17
tools/codex/runs/20260301_011534_EF0A/C_features,23,180599,0.17
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/apps/keystone/tests,1,179330,0.17
tools/codex/_triage/snapshots/SNAP_20260226_1/BEFORE,15,178761,0.17
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/docs/factory,1,178443,0.17
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/apps/keystone/dev-datasets,1,178189,0.17
tools/codex/runs/20260305_092736_F9A0/D_validation/FILES/apps/keystone/app/api/dev/kpi/datasets,1,177259,0.17
docs/knowledge/codex_chats/export_20260304_152713/export/json,283,163857,0.16
tools/_local/data_sims/20260301_095325/normal_seed12345,2,163353,0.16
tools/codex/runs/ci_factory_local_fix2,4,161537,0.15
tools/codex/runs/ci_factory_local_2,4,161496,0.15
tools/codex/runs/ci_factory_local_1,4,161270,0.15
tools/codex/worktrees/C_features/apps/keystone/components/pitch/__tests__,5,157880,0.15
_attic/docs_dump/_root_archive/20260301_014802/factory/01 Mirror/docs,20,152102,0.15
tools/codex/runs/20260305_092736_F9A0/A_core,17,139899,0.13
tools/codex/runs/20260305_092736_F9A0/C_features,17,134712,0.13
tools/codex/worktrees/C_features/tools/codex/runs/20260305_092736_F9A0/C_features,14,123578,0.12
tools/codex/worktrees/A_core/tools/codex/runs/20260305_092736_F9A0/A_core,14,123087,0.12
tools/codex/worktrees/B_tooling/tools/codex/runs/20260304_061005_61C9/B_tooling/FILES/apps/keystone/lib/pitch-engine-tooling,24,118264,0.11
tools/codex/worktrees/B_tooling/apps/keystone/lib/pitch-engine-tooling,24,118241,0.11
tools/codex/factory/tests,23,101063,0.1
tools/codex/contracts/factory,6,98229,0.09
docs,9,98071,0.09
tools/codex/_triage/snapshots/SNAP_20260226_1/BEFORE/tools/codex/contracts/factory,6,97380,0.09
tools/codex/runs/{{RUN_ID}}/UNICODEX/FILES/tools/ui_map,13,97341,0.09
tools/ui_map/_all_py_onebutton,13,97341,0.09
tools/codex/runs/20260228_164549_2F73/C_features/FILES/apps/keystone/components/pitch,39,96125,0.09
tools/codex/worktrees/A_core/tools/codex/contracts/factory,6,95268,0.09
tools/codex/worktrees/B_tooling/tools/codex/contracts/factory,6,95268,0.09
tools/codex/worktrees/C_features/tools/codex/contracts/factory,6,95268,0.09
